Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-09-10 00:00:00-04:00,210.7493896484375,211.29734802246094,207.28445434570312,207.53424072265625,188.5363311767578,2131418,0.0,0.0
2021-09-13 00:00:00-04:00,209.07333374023438,211.03948974609375,207.69540405273438,211.0072479248047,191.69143676757812,2293368,0.0,0.0
2021-09-14 00:00:00-04:00,211.28927612304688,211.8936309814453,205.2457733154297,205.64060974121094,186.8160858154297,3206124,0.0,0.0
2021-09-15 00:00:00-04:00,206.53504943847656,209.22642517089844,205.38275146484375,206.76068115234375,187.8336639404297,2836802,0.0,0.0
2021-09-16 00:00:00-04:00,207.8726806640625,209.0330352783203,206.31748962402344,208.20306396484375,189.14393615722656,2124468,0.0,0.0
2021-09-17 00:00:00-04:00,205.80177307128906,207.66317749023438,204.7461700439453,205.65672302246094,186.8307342529297,3825258,0.0,0.0
2021-09-20 00:00:00-04:00,203.1506805419922,204.65753173828125,199.9677734375,202.09507751464844,183.59510803222656,4311855,0.0,0.0
2021-09-21 00:00:00-04:00,203.8678436279297,204.5769500732422,200.4673614501953,203.1184539794922,184.52479553222656,5561045,0.0,0.0
2021-09-22 00:00:00-04:00,188.70265197753906,189.34730529785156,184.5124969482422,184.5930633544922,167.6952362060547,22080368,0.0,0.0
2021-09-23 00:00:00-04:00,184.5850067138672,186.37388610839844,183.78726196289062,184.46414184570312,167.57815551757812,8802041,0.0,0.0
2021-09-24 00:00:00-04:00,183.72280883789062,184.5286102294922,182.5946807861328,182.6269073486328,165.90908813476562,6171989,0.0,0.0
2021-09-27 00:00:00-04:00,182.1112060546875,184.7300567626953,181.8533477783203,182.52215576171875,165.81393432617188,5380356,0.0,0.0
2021-09-28 00:00:00-04:00,181.96615600585938,183.76309204101562,178.69459533691406,179.21031188964844,162.80523681640625,5854666,0.0,0.0
2021-09-29 00:00:00-04:00,179.6938018798828,180.6929931640625,177.92103576660156,178.1547088623047,161.8462677001953,4637865,0.0,0.0
2021-09-30 00:00:00-04:00,178.5576171875,179.83078002929688,176.49476623535156,176.7042694091797,160.52859497070312,4788523,0.0,0.0
2021-10-01 00:00:00-04:00,177.28445434570312,180.58016967773438,175.80982971191406,179.3150634765625,162.90042114257812,5005077,0.0,0.0
2021-10-04 00:00:00-04:00,178.2755889892578,180.49960327148438,175.06849670410156,175.56002807617188,159.48910522460938,4869808,0.0,0.0
2021-10-05 00:00:00-04:00,175.2618865966797,182.48187255859375,174.3271484375,180.7171630859375,164.17413330078125,6610683,0.0,0.0
2021-10-06 00:00:00-04:00,178.95245361328125,181.25704956054688,177.139404296875,180.66075134277344,164.12289428710938,4533249,0.0,0.0
2021-10-07 00:00:00-04:00,182.91700744628906,183.44883728027344,179.2747802734375,179.65350341796875,163.20787048339844,4907038,0.0,0.0
2021-10-08 00:00:00-04:00,179.21031188964844,180.4512481689453,178.42062377929688,180.04835510253906,163.56654357910156,2934965,0.0,0.0
2021-10-11 00:00:00-04:00,180.52377319335938,180.9669647216797,176.76068115234375,177.13134765625,160.91659545898438,3579913,0.0,0.0
2021-10-12 00:00:00-04:00,177.13134765625,178.95245361328125,177.01853942871094,178.3400421142578,162.01463317871094,3154002,0.0,0.0
2021-10-13 00:00:00-04:00,178.90411376953125,181.6519012451172,176.8815460205078,180.2820281982422,163.77886962890625,5702767,0.0,0.0
2021-10-14 00:00:00-04:00,182.4335174560547,184.18211364746094,181.92587280273438,183.2796173095703,166.50204467773438,3526177,0.0,0.0
2021-10-15 00:00:00-04:00,184.0048370361328,184.93150329589844,183.18292236328125,184.62530517578125,167.7245635986328,5184774,0.0,0.0
2021-10-18 00:00:00-04:00,183.73892211914062,185.13294982910156,182.65914916992188,183.70669555664062,166.88998413085938,3321909,0.0,0.0
2021-10-19 00:00:00-04:00,184.64947509765625,185.64866638183594,183.46495056152344,184.78646850585938,167.87095642089844,2591332,0.0,0.0
2021-10-20 00:00:00-04:00,185.60032653808594,186.9137725830078,184.65753173828125,186.38194274902344,169.32037353515625,3123473,0.0,0.0
2021-10-21 00:00:00-04:00,186.38194274902344,188.04190063476562,185.84205627441406,187.6228790283203,170.44769287109375,4757249,0.0,0.0
2021-10-22 00:00:00-04:00,187.64706420898438,189.12167358398438,187.23609924316406,187.73570251464844,170.55023193359375,3198553,0.0,0.0
2021-10-25 00:00:00-04:00,188.02578735351562,190.39483642578125,187.34890747070312,189.68572998046875,172.32171630859375,3159338,0.0,0.0
2021-10-26 00:00:00-04:00,192.5785675048828,194.43191528320312,190.89443969726562,191.64382934570312,174.10057067871094,3804161,0.0,0.0
2021-10-27 00:00:00-04:00,192.1837158203125,193.39242553710938,189.42788696289062,189.5970916748047,172.2412109375,3322157,0.0,0.0
2021-10-28 00:00:00-04:00,189.81466674804688,190.2820281982422,187.8726806640625,190.13699340820312,172.73167419433594,2132907,0.0,0.0
2021-10-29 00:00:00-04:00,188.49314880371094,192.07896423339844,188.19500732421875,189.79049682617188,172.41693115234375,2481876,0.0,0.0
2021-11-01 00:00:00-04:00,191.2006378173828,191.30540466308594,189.11361694335938,189.87913513183594,172.4974365234375,1776740,0.0,0.0
2021-11-02 00:00:00-04:00,190.54794311523438,191.28121948242188,189.36341857910156,189.98388671875,172.59262084960938,1848345,0.0,0.0
2021-11-03 00:00:00-04:00,189.7018585205078,193.77920532226562,189.0572052001953,193.40853881835938,175.70376586914062,2518734,0.0,0.0
2021-11-04 00:00:00-04:00,194.79452514648438,197.8646240234375,193.93231201171875,197.4294891357422,179.35662841796875,3585994,0.0,0.0
2021-11-05 00:00:00-04:00,198.67848205566406,198.8557586669922,194.5527801513672,195.62449645996094,177.71685791015625,2462889,0.0,0.0
2021-11-08 00:00:00-05:00,197.27638244628906,201.1603546142578,197.115234375,200.2659149169922,181.9333953857422,3241740,0.0,0.0
2021-11-09 00:00:00-05:00,201.450439453125,201.8452911376953,198.3078155517578,201.03143310546875,182.6288604736328,2273636,0.0,0.0
2021-11-10 00:00:00-05:00,199.60516357421875,202.01451110839844,198.70265197753906,200.2578582763672,181.92608642578125,2308136,0.0,0.0
2021-11-11 00:00:00-05:00,200.9830780029297,204.0290069580078,200.4270782470703,202.24818420410156,183.73423767089844,2544546,0.0,0.0
2021-11-12 00:00:00-05:00,203.01370239257812,205.38275146484375,202.22401428222656,204.5769500732422,185.84982299804688,2625336,0.0,0.0
2021-11-15 00:00:00-05:00,205.07655334472656,205.680908203125,201.6519012451172,203.3037872314453,184.6931915283203,2473561,0.0,0.0
2021-11-16 00:00:00-05:00,203.06204223632812,205.72119140625,202.80418395996094,204.0128936767578,185.33738708496094,1996645,0.0,0.0
2021-11-17 00:00:00-05:00,203.5535888671875,204.12570190429688,199.17002868652344,199.3150634765625,181.06961059570312,2612181,0.0,0.0
2021-11-18 00:00:00-05:00,199.79049682617188,200.62852478027344,194.39161682128906,197.19581604003906,179.14434814453125,2898604,0.0,0.0
2021-11-19 00:00:00-05:00,197.4053192138672,198.38839721679688,195.4391632080078,195.56002807617188,177.65830993652344,2519106,0.0,0.0
2021-11-22 00:00:00-05:00,195.56002807617188,202.33682250976562,195.0362548828125,199.83078002929688,181.53810119628906,2712454,0.0,0.0
