window,level,group,rho,ci_lo,ci_hi,n_events,n_rows
3,pooled,ALL,-0.007909344078096696,-0.04431237001236579,0.03006344164468875,348,3256
3,by_sector,XLK,-0.032471548349759904,-0.1413441756099878,0.06776543149646404,348,349
3,by_sector,XLC,0.2588904694167852,-0.056264562712065924,0.5336337324039103,37,37
3,by_sector,XLY,0.04622669659410162,-0.061427421864261735,0.15606863830397197,348,349
3,by_sector,XLP,-0.07661165251705188,-0.17839519353309238,0.031679953537393134,348,349
3,by_sector,XLV,-0.004440279907864444,-0.10610985675166543,0.10107856801219707,348,349
3,by_sector,XLF,-0.03955686520855221,-0.14902656954894128,0.07437201584996649,348,349
3,by_sector,XLI,0.03301727366731581,-0.08786967406291121,0.14544067097417923,348,349
3,by_sector,XLB,-0.03248128994703747,-0.13651085396650434,0.07381497762688173,348,349
3,by_sector,XLE,0.058662519510379166,-0.04650558133211348,0.17037545556393915,348,349
3,by_sector,XLU,-0.06518235592165608,-0.1672907464967347,0.034509802058855926,348,349
3,by_sector,XLRE,-0.09683233472353966,-0.3130552355430895,0.1307337659547421,78,78
3,by_shock_type,policy_easing,-0.017176925363958595,-0.0941084010476856,0.06090630712739813,80,745
3,by_shock_type,no_rate_surprise,0.0087024289295151,-0.09844885501603295,0.12251082864725912,49,459
3,by_shock_type,policy_tightening,0.014542127214876568,-0.07710173350597999,0.10148651266782467,56,517
3,by_shock_type,info_positive,-0.011558910636139917,-0.06693508796378975,0.045629590719070766,90,842
3,by_shock_type,info_negative,-0.045660838975894825,-0.13199121187999965,0.04760454716975955,73,693
3,sector_x_shock,XLK|policy_easing,-0.013138925679825112,,,80,80
3,sector_x_shock,XLK|no_rate_surprise,-0.05025894853611153,,,49,49
3,sector_x_shock,XLK|policy_tightening,-0.04576291461561218,,,56,56
3,sector_x_shock,XLK|info_positive,-0.01626087475874409,,,91,91
3,sector_x_shock,XLK|info_negative,-0.019776625941009505,,,73,73
3,sector_x_shock,XLC|policy_easing,-0.39999999999999997,,,9,9
3,sector_x_shock,XLC|no_rate_surprise,0.2,,,6,6
3,sector_x_shock,XLC|policy_tightening,,,,3,3
3,sector_x_shock,XLC|info_positive,0.7,,,5,5
3,sector_x_shock,XLC|info_negative,0.3626373626373627,,,14,14
3,sector_x_shock,XLY|policy_easing,0.029606535474788795,,,80,80
3,sector_x_shock,XLY|no_rate_surprise,0.24073270984098902,,,49,49
3,sector_x_shock,XLY|policy_tightening,0.11421736158578263,,,56,56
3,sector_x_shock,XLY|info_positive,0.06398490163823026,,,91,91
3,sector_x_shock,XLY|info_negative,0.05491793163026041,,,73,73
3,sector_x_shock,XLP|policy_easing,0.14510334806534708,,,80,80
3,sector_x_shock,XLP|no_rate_surprise,-0.1648211480250744,,,49,49
3,sector_x_shock,XLP|policy_tightening,-0.1728327551987683,,,56,56
3,sector_x_shock,XLP|info_positive,-0.09396587764602363,,,91,91
3,sector_x_shock,XLP|info_negative,-0.03146982599037394,,,73,73
3,sector_x_shock,XLV|policy_easing,0.008720214724165821,,,80,80
3,sector_x_shock,XLV|no_rate_surprise,-0.11023501927022603,,,49,49
3,sector_x_shock,XLV|policy_tightening,0.19232675452593226,,,56,56
3,sector_x_shock,XLV|info_positive,-0.06528239533407641,,,91,91
3,sector_x_shock,XLV|info_negative,-0.08746760459089227,,,73,73
3,sector_x_shock,XLF|policy_easing,0.10030767431856372,,,80,80
3,sector_x_shock,XLF|no_rate_surprise,-0.12011845275317927,,,49,49
3,sector_x_shock,XLF|policy_tightening,-0.030793943761790576,,,56,56
3,sector_x_shock,XLF|info_positive,-0.03747650754445286,,,91,91
3,sector_x_shock,XLF|info_negative,-0.04862546668569741,,,73,73
3,sector_x_shock,XLI|policy_easing,-0.06172311340046996,,,80,80
3,sector_x_shock,XLI|no_rate_surprise,0.12421853560357876,,,49,49
3,sector_x_shock,XLI|policy_tightening,0.11565474462974727,,,56,56
3,sector_x_shock,XLI|info_positive,0.01743977703065863,,,91,91
3,sector_x_shock,XLI|info_negative,-0.07395409107737876,,,73,73
3,sector_x_shock,XLB|policy_easing,-0.054735756400341916,,,80,80
3,sector_x_shock,XLB|no_rate_surprise,0.07174018440789118,,,49,49
3,sector_x_shock,XLB|policy_tightening,0.10382775119617225,,,56,56
3,sector_x_shock,XLB|info_positive,-0.0776180256711674,,,91,91
3,sector_x_shock,XLB|info_negative,-0.1479390349253363,,,73,73
3,sector_x_shock,XLE|policy_easing,0.03365018343155923,,,80,80
3,sector_x_shock,XLE|no_rate_surprise,0.14659285192309485,,,49,49
3,sector_x_shock,XLE|policy_tightening,0.2272727272727273,,,56,56
3,sector_x_shock,XLE|info_positive,0.010185026657784256,,,91,91
3,sector_x_shock,XLE|info_negative,-0.14133654202147355,,,73,73
3,sector_x_shock,XLU|policy_easing,-0.03857582432489148,,,80,80
3,sector_x_shock,XLU|no_rate_surprise,-0.18553603850776945,,,49,49
3,sector_x_shock,XLU|policy_tightening,-0.20945772884149033,,,56,56
3,sector_x_shock,XLU|info_positive,0.0940563707801755,,,91,91
3,sector_x_shock,XLU|info_negative,-0.09658832339048708,,,73,73
3,sector_x_shock,XLRE|policy_easing,-0.1398087207049993,,,16,16
